scode,scount,ssum,spercent,sdate
141029,1398,0,0.0000,2013/1/3 0:00:00
141030,623,0,0.0000,2013/1/3 0:00:00
141031,1029,0,0.0000,2013/1/3 0:00:00
141032,861,0,0.0000,2013/1/3 0:00:00
141033,1014,0,0.0000,2013/1/3 0:00:00
141034,561,0,0.0000,2013/1/3 0:00:00
141081,120,0,0.0000,2013/1/3 0:00:00
141082,509,0,0.0000,2013/1/3 0:00:00
141102,858,0,0.0000,2013/1/3 0:00:00
141121,711,5,0.7032,2013/1/3 0:00:00
141122,1061,0,0.0000,2013/1/3 0:00:00
141123,1820,0,0.0000,2013/1/3 0:00:00
141124,2331,0,0.0000,2013/1/3 0:00:00
141125,714,0,0.0000,2013/1/3 0:00:00
141126,1037,0,0.0000,2013/1/3 0:00:00
141127,1071,45,4.2017,2013/1/3 0:00:00
141128,938,0,0.0000,2013/1/3 0:00:00
141129,980,0,0.0000,2013/1/3 0:00:00
141130,687,0,0.0000,2013/1/3 0:00:00
141181,684,0,0.0000,2013/1/3 0:00:00
141182,861,0,0.0000,2013/1/3 0:00:00
150102,719,524,72.8790,2013/1/3 0:00:00
150103,123,40,32.5203,2013/1/3 0:00:00
150104,63,16,25.3968,2013/1/3 0:00:00
150105,708,641,90.5367,2013/1/3 0:00:00
150121,1771,1022,57.7075,2013/1/3 0:00:00
150122,823,755,91.7375,2013/1/3 0:00:00
150123,2113,2017,95.4567,2013/1/3 0:00:00
150124,1903,895,47.0310,2013/1/3 0:00:00
150125,3270,2996,91.6208,2013/1/3 0:00:00
150202,48,0,0.0000,2013/1/3 0:00:00
150203,46,0,0.0000,2013/1/3 0:00:00
150204,26,0,0.0000,2013/1/3 0:00:00
150205,483,160,33.1263,2013/1/3 0:00:00
150206,818,785,95.9658,2013/1/3 0:00:00
150207,911,96,10.5379,2013/1/3 0:00:00
150221,1577,784,49.7146,2013/1/3 0:00:00
150222,3684,3611,98.0185,2013/1/3 0:00:00
150223,11873,8291,69.8307,2013/1/3 0:00:00
150302,396,0,0.0000,2013/1/3 0:00:00
150303,459,0,0.0000,2013/1/3 0:00:00
150304,450,2,0.4444,2013/1/3 0:00:00
150402,115,104,90.4348,2013/1/3 0:00:00
150403,435,366,84.1379,2013/1/3 0:00:00
150404,4637,3502,75.5230,2013/1/3 0:00:00
150421,9719,6965,71.6638,2013/1/3 0:00:00
150422,4705,3485,74.0701,2013/1/3 0:00:00
150423,7152,6211,86.8428,2013/1/3 0:00:00
150424,3208,2739,85.3803,2013/1/3 0:00:00
150425,13760,12564,91.3081,2013/1/3 0:00:00
150426,8662,6080,70.1916,2013/1/3 0:00:00
150428,2378,2099,88.2675,2013/1/3 0:00:00
150429,3308,2620,79.2019,2013/1/3 0:00:00
150430,6345,4990,78.6446,2013/1/3 0:00:00
150502,2912,2862,98.2830,2013/1/3 0:00:00
150521,6190,6185,99.9192,2013/1/3 0:00:00
150522,8544,6597,77.2121,2013/1/3 0:00:00
150523,3310,3138,94.8036,2013/1/3 0:00:00
150524,3549,1442,40.6312,2013/1/3 0:00:00
150525,5878,4876,82.9534,2013/1/3 0:00:00
150526,12247,6486,52.9599,2013/1/3 0:00:00
150581,834,832,99.7602,2013/1/3 0:00:00
150602,1720,0,0.0000,2013/1/3 0:00:00
150621,5638,20,0.3547,2013/1/3 0:00:00
150622,5270,190,3.6053,2013/1/3 0:00:00
150623,10677,0,0.0000,2013/1/3 0:00:00
150624,12869,0,0.0000,2013/1/3 0:00:00
150625,12647,187,1.4786,2013/1/3 0:00:00
150626,7582,6,0.0791,2013/1/3 0:00:00
150627,3701,4,0.1081,2013/1/3 0:00:00
150702,1682,1623,96.4923,2013/1/3 0:00:00
150721,9128,5136,56.2664,2013/1/3 0:00:00
150722,8384,8149,97.1970,2013/1/3 0:00:00
150723,44832,8511,18.9842,2013/1/3 0:00:00
150724,14347,13231,92.2214,2013/1/3 0:00:00
150725,14406,14194,98.5284,2013/1/3 0:00:00
150726,16269,16100,98.9612,2013/1/3 0:00:00
150727,20220,20152,99.6637,2013/1/3 0:00:00
150781,734,734,100.0000,2013/1/3 0:00:00
150782,22739,8267,36.3560,2013/1/3 0:00:00
150783,12868,7355,57.1573,2013/1/3 0:00:00
150784,25141,7511,29.8755,2013/1/3 0:00:00
150785,16958,900,5.3072,2013/1/3 0:00:00
150802,1777,36,2.0259,2013/1/3 0:00:00
150821,1616,118,7.3020,2013/1/3 0:00:00
150822,2519,181,7.1854,2013/1/3 0:00:00
150823,5277,1957,37.0855,2013/1/3 0:00:00
150824,16617,10464,62.9717,2013/1/3 0:00:00
150825,16481,4447,26.9826,2013/1/3 0:00:00
150826,910,0,0.0000,2013/1/3 0:00:00
150902,82,0,0.0000,2013/1/3 0:00:00
150921,1948,1766,90.6571,2013/1/3 0:00:00
150922,1847,1806,97.7802,2013/1/3 0:00:00
150923,2864,2620,91.4804,2013/1/3 0:00:00
150924,2090,1687,80.7177,2013/1/3 0:00:00
150925,2495,2246,90.0200,2013/1/3 0:00:00
150926,1831,653,35.6636,2013/1/3 0:00:00
150927,2897,2882,99.4822,2013/1/3 0:00:00
150928,2884,2753,95.4577,2013/1/3 0:00:00
150929,17429,16736,96.0239,2013/1/3 0:00:00
150981,2228,2083,93.4919,2013/1/3 0:00:00
152201,444,444,100.0000,2013/1/3 0:00:00
152202,5966,3271,54.8274,2013/1/3 0:00:00
152221,14222,13767,96.8007,2013/1/3 0:00:00
152222,8568,3769,43.9893,2013/1/3 0:00:00
152223,9343,8972,96.0291,2013/1/3 0:00:00
152224,3298,2275,68.9812,2013/1/3 0:00:00
152501,2766,2360,85.3218,2013/1/3 0:00:00
152502,11589,11560,99.7498,2013/1/3 0:00:00
152522,21193,21181,99.9434,2013/1/3 0:00:00
152523,25298,25193,99.5849,2013/1/3 0:00:00
152524,15650,14767,94.3578,2013/1/3 0:00:00
152525,34886,34821,99.8137,2013/1/3 0:00:00
152526,16478,16478,100.0000,2013/1/3 0:00:00
152527,2648,2648,100.0000,2013/1/3 0:00:00
152528,3673,3673,100.0000,2013/1/3 0:00:00
152529,4331,4331,100.0000,2013/1/3 0:00:00
152530,7381,7381,100.0000,2013/1/3 0:00:00
152531,2788,2726,97.7762,2013/1/3 0:00:00
152921,56172,94,0.1673,2013/1/3 0:00:00
152922,54870,81,0.1476,2013/1/3 0:00:00
152923,61357,57,0.0929,2013/1/3 0:00:00
210102,17,10,58.8235,2013/1/3 0:00:00
210103,13,7,53.8462,2013/1/3 0:00:00
210104,17,8,47.0588,2013/1/3 0:00:00
210105,33,29,87.8788,2013/1/3 0:00:00
210106,21,19,90.4762,2013/1/3 0:00:00
210111,435,435,100.0000,2013/1/3 0:00:00
210112,533,500,93.8086,2013/1/3 0:00:00
210113,742,740,99.7305,2013/1/3 0:00:00
210114,521,518,99.4242,2013/1/3 0:00:00
210122,1259,1092,86.7355,2013/1/3 0:00:00
210123,1368,1220,89.1813,2013/1/3 0:00:00
210124,1520,1356,89.2105,2013/1/3 0:00:00
210181,2588,1081,41.7697,2013/1/3 0:00:00
210202,76,0,0.0000,2013/1/3 0:00:00
210203,20,0,0.0000,2013/1/3 0:00:00
210204,23,1,4.3478,2013/1/3 0:00:00
210211,334,91,27.2455,2013/1/3 0:00:00
210212,315,128,40.6349,2013/1/3 0:00:00
210213,960,628,65.4167,2013/1/3 0:00:00
210224,142,19,13.3803,2013/1/3 0:00:00
210281,2539,2103,82.8279,2013/1/3 0:00:00
210282,1974,1825,92.4519,2013/1/3 0:00:00
210283,2639,2138,81.0155,2013/1/3 0:00:00
210302,5,3,60.0000,2013/1/3 0:00:00
210303,14,14,100.0000,2013/1/3 0:00:00
210304,7,0,0.0000,2013/1/3 0:00:00
210311,345,311,90.1449,2013/1/3 0:00:00
210321,964,860,89.2116,2013/1/3 0:00:00
210323,3212,2451,76.3076,2013/1/3 0:00:00
210381,1899,1826,96.1559,2013/1/3 0:00:00
210402,11,11,100.0000,2013/1/3 0:00:00
210403,152,143,94.0789,2013/1/3 0:00:00
210404,348,340,97.7011,2013/1/3 0:00:00
210411,158,156,98.7342,2013/1/3 0:00:00
210421,1504,1305,86.7686,2013/1/3 0:00:00
210422,3338,1852,55.4823,2013/1/3 0:00:00
210423,3029,2221,73.3245,2013/1/3 0:00:00
210502,122,83,68.0328,2013/1/3 0:00:00
210503,365,324,88.7671,2013/1/3 0:00:00
210504,193,125,64.7668,2013/1/3 0:00:00
210505,383,205,53.5248,2013/1/3 0:00:00
210521,2335,1296,55.5032,2013/1/3 0:00:00
210522,2882,1573,54.5802,2013/1/3 0:00:00
210602,22,20,90.9091,2013/1/3 0:00:00
210603,46,45,97.8261,2013/1/3 0:00:00
210604,378,311,82.2751,2013/1/3 0:00:00
